Season,Episode Number,Number in Season,Episode Name,Director,Writer,Original Air Date,US viewers (million),Runtime (mins),IMDB Description,IMDB votes,Imdb Rating,Notable Death Count
6,52,2,Home,Jeremy Podeswa,Dave Hill,"May 1, 2016",7.29,54,Bran trains with the Three-Eyed Raven. Tommen meets with Cersei. Tyrion makes a bold move. Theon leaves while at Pyke new issues arise. Ramsay's brother is born. Davos asks Melisandre for a miracle.,35219,9.5,4
6,53,3,Oathbreaker,Daniel Sackheim,David Benioff & D. B. Weiss,"May 8, 2016",7.28,52,"Daenerys arrives at Vaes Dothrak. Sam and Gilly sail for Horn Hill. Arya trains as No One. Varys finds information on the Sons of the Harpy. Ramsay receives a gift. Tommen meets with the High Sparrow. At Castle Black, a miracle occurs.",23399,8.8,5
6,54,4,Book of the Stranger,Daniel Sackheim,David Benioff & D. B. Weiss,"May 15, 2016",7.82,59,Sansa arrives at Castle Black. Tyrion makes a deal with the slave masters. Jorah and Daario sneak into Vaes Dothrak. Ramsay sends a letter to Jon. Theon arrives at Pyke. Cersei and Olenna Tyrell plot against the High Sparrow.,25572,9.2,8
6,55,5,The Door,Jack Bender,David Benioff & D. B. Weiss,"May 22, 2016",7.89,57,Sansa and Jon make plans. Arya is given another chance to prove herself. Jorah confesses a secret to Daenerys. Tyrion meets with a red priestess. Yara finds her rule tested. Bran discovers the origin of the White Walkers.,51836,9.7,5
6,56,6,Blood of My Blood,Jack Bender,Bryan Cogman,"May 29, 2016",6.71,52,Bran and Meera find a new ally. Gilly meets Sam's family. Arya makes a difficult choice. The Lannisters and Tyrells march against the High Sparrow.,23207,8.5,0
6,57,7,The Broken Man,Mark Mylod,Bryan Cogman,"June 5, 2016",7.8,51,Jon and Sansa gather troops. Jaime arrives at Riverrun. Olenna Tyrell plans to leave King's Landing. Theon and Yara plan a destination. Arya makes plans to leave.,22411,8.7,1
6,58,8,No One,Mark Mylod,David Benioff & D. B. Weiss,"June 12, 2016",7.6,59,Brienne arrives at Riverrun. Arya seeks shelter. Jaime meets with Edmure Tully. Cersei challenges the Faith. Sandor Clegane hunts for revenge. Tyrion faces the consequences of earlier decisions.,26041,8.4,4
6,59,9,Battle of the Bastards,Miguel Sapochnik,David Benioff & D. B. Weiss,"June 19, 2016",7.66,60,Jon and Sansa face Ramsay Bolton on the fields of Winterfell. Daenerys strikes back at her enemies. Theon and Yara arrive in Meereen.,159082,9.9,4
6,60,10,The Winds of Winter,Miguel Sapochnik,David Benioff & D. B. Weiss,"June 26, 2016",8.89,68,Cersei and Loras Tyrell stand trial by the gods. Daenerys prepares to set sail for Westeros. Davos confronts Melisandre. Sam and Gilly arrive in the Citadel. Bran discovers a long-kept secret. Lord Frey has an uninvited guest.,109392,9.9,11
7,61,1,Dragonstone,Jeremy Podeswa,David Benioff & D. B. Weiss,"July 16, 2017",10.11,59,"Jon organizes the North's defenses. Cersei tries to even the odds. Daenerys comes home. Arya reminds the Freys ""the North remembers."" Sam adapts to life in Oldtown. The Night King makes his way south.",36720,8.7,2
7,62,2,Stormborn,Mark Mylod,Bryan Cogman,"July 23, 2017",9.27,59,Daenerys receives an unexpected visitor. Jon faces resistance. Tyrion plans the conquest of Westeros. Cersei gathers her allies. Arya has a reunion with old friends. Sam risks his career and life.,30683,9,2
7,63,3,The Queen's Justice,Mark Mylod,David Benioff & D. B. Weiss,"July 30, 2017",9.25,63,Jon and Daenerys finally meet. Cersei gains a new ally. Sansa receives an unexpected visitor. Sam is confronted for his actions.,31822,9.3,2
7,64,4,The Spoils of War,Matt Shakman,David Benioff & D. B. Weiss,"August 6, 2017",10.17,50,Daenerys takes matters into her own hands. Arya reaches her destination. Jaime and Bronn collect the spoils from the war with the Tyrells.,64201,9.8,0
7,65,5,Eastwatch,Matt Shakman,Dave Hill,"August 13, 2017",10.72,59,Darnerys demands loyalty from the surviving Lannister soldiers; Jon heeds Bran's warning about White Walkers on the move; Cersei vows to vanquish anyone or anything that stands in her way.,29870,9,2
7,66,6,Beyond the Wall,Alan Taylor,David Benioff & D. B. Weiss,"August 20, 2017",10.24,70,Jon and his team go beyond the wall to capture a wight. Daenerys has to make a tough decision.,44284,9.2,3
7,67,7,The Dragon and the Wolf,Jeremy Podeswa,David Benioff & D. B. Weiss,"August 27, 2017",12.07,80,"Everyone meets in King's Landing to discuss the fate of the realm. In Winterfell, Sansa confronts Arya. Sam reaches Winterfell, where he and Bran discover a shocking secret about Jon Snow.",42505,9.6,1
8,68,1,Winterfell,David Nutter,Dave Hill,"April 14, 2019",11.76,54,Jon and Daenerys arrive in Winterfell and are met with skepticism. Sam learns about the fate of his family. Cersei gives Euron the reward he aims for. Theon follows his heart.,120508,7.6,1
8,69,2,A Knight of the Seven Kingdoms,David Nutter,Bryan Cogman,"April 21, 2019",10.29,58,Jaime faces judgment and Winterfell prepares for the battle to come.,118605,7.9,0
8,70,3,The Long Night,Miguel Sapochnik,David Benioff & D. B. Weiss,"April 28, 2019",12.02,82,The Night King and his army have arrived at Winterfell and the great battle begins.,198482,7.5,7
8,71,4,The Last of the Starks,David Nutter,David Benioff & D. B. Weiss,"May 5, 2019",11.8,78,The Battle of Winterfell is over and a new chapter for Westeros begins.,151229,5.5,2
8,72,5,The Bells,Miguel Sapochnik,David Benioff & D. B. Weiss,"May 12, 2019",12.4,78,Forces have arrived at King's Landing for the final battle.,176140,6,7
8,73,6,The Iron Throne,David Benioff & D. B. Weiss,David Benioff & D. B. Weiss,"May 19, 2019",13.61,80,"In the aftermath of the devastating attack on King's Landing, Daenerys must face the survivors.",216879,4.1,1
